company_name,invested_company_name,com_index,invested_com_index
国泰君安期货有限公司,证通股份有限公司,10036,9945
中国医药健康产业股份有限公司,中国医疗器械技术服务有限公司,10734,10134
中国医药健康产业股份有限公司,中国医药保健品有限公司,10734,9862
中国医药健康产业股份有限公司,浙江阿童木医药有限公司,10734,11017
中国医药健康产业股份有限公司,武汉鑫益投资有限公司,10734,11044
中国医药健康产业股份有限公司,河南天方药业股份有限公司,10734,10500
中国医药健康产业股份有限公司,中国医药黑龙江有限公司,10734,9905
中国医药健康产业股份有限公司,美康九州医药有限公司,10734,10640
通用技术集团医药控股有限公司,中国医药健康产业股份有限公司,10472,10734
雅戈尔集团股份有限公司,创业慧康科技股份有限公司,10428,9943
雅戈尔集团股份有限公司,宁波银行股份有限公司,10428,9986
上海兴海投资发展有限公司,旗天科技集团股份有限公司,10415,10172
广东省广晟资产经营有限公司,东江环保股份有限公司,10101,10121
广东省广晟资产经营有限公司,深圳市中金岭南有色金属股份有限公司,10101,10435
广东省广晟资产经营有限公司,广晟有色金属股份有限公司,10101,10177
广东省广晟资产经营有限公司,广东风华高新科技股份有限公司,10101,10758
广东省广晟资产经营有限公司,广东省广晟集团,10101,10596
深圳华强集团有限公司,深圳华强实业股份有限公司,10440,11185
深圳华强集团有限公司,芜湖市华强旅游城投资开发有限公司,10440,10583
深圳华强集团有限公司,深圳华强彩电有限公司,10440,10384
山东金洲矿业集团有限公司,山东黄金矿业股份有限公司,10615,10013
广东鸿图科技股份有限公司,广东盛图投资有限公司,10617,9765
中国核工业建设股份有限公司,国华军民融合产业发展基金管理有限公司,10981,10459
恒生电子股份有限公司,中证信用增进股份有限公司,10819,10960
恒生电子股份有限公司,重庆水务集团股份有限公司,10819,11131
苏州新区高新技术产业股份有限公司,华泰柏瑞基金管理有限公司,10521,11177
山东黄金有色矿业集团有限公司,山东黄金矿业股份有限公司,10144,10013
东北证券股份有限公司,观典防务技术股份有限公司,9782,10761
东北证券股份有限公司,北京约顿气膜建筑技术股份有限公司,9782,9799
东北证券股份有限公司,有友食品股份有限公司,9782,10303
东北证券股份有限公司,中证机构间报价系统股份有限公司,9782,9779
东北证券股份有限公司,海信家电集团股份有限公司,9782,11114
东北证券股份有限公司,浙江华峰氨纶股份有限公司,9782,10546
北京东易天正投资有限公司,东易日盛家居装饰集团股份有限公司,11168,10245
广东因赛品牌营销集团股份有限公司,广州橙盟整合营销传播有限公司,9909,11172
广东因赛品牌营销集团股份有限公司,广东因赛数字营销有限公司,9909,10187
广东因赛品牌营销集团股份有限公司,广东摄众媒体有限公司,9909,10362
上海陆家嘴金融贸易区开发股份有限公司,中国光大银行股份有限公司,10276,10024
上海陆家嘴金融贸易区开发股份有限公司,国泰君安证券股份有限公司,10276,10268
南京钢铁联合有限公司,华泰证券股份有限公司,9874,9990
北京蓝色光标数据科技股份有限公司,北京比邻弘科科技有限公司,10713,10462
浙江中国小商品城集团股份有限公司,申万宏源集团股份有限公司,11069,10238
广西梧州中恒集团股份有限公司,国海证券股份有限公司,10244,10752
上海空间电源研究所,上海航天电源技术有限责任公司,10627,10034
上海空间电源研究所,上海太阳能科技有限公司,10627,9838
甘肃祁连山建材控股有限公司,甘肃祁连山水泥集团股份有限公司,10451,10401
洛阳城市发展投资集团有限公司,中航光电科技股份有限公司,10600,9855
洛阳城市发展投资集团有限公司,中信重工机械股份有限公司,10600,10223
深圳市广晟投资发展有限公司,佛山电器照明股份有限公司,11249,11153
深圳市广晟投资发展有限公司,广东风华高新科技股份有限公司,11249,10758
深圳市广晟投资发展有限公司,深圳市中金岭南有色金属股份有限公司,11249,10435
深圳市广晟投资发展有限公司,广东省广晟集团,11249,10596
深圳船舶工业贸易公司,国泰君安证券股份有限公司,10666,10268
东方明珠新媒体股份有限公司,北京歌华有线电视网络股份有限公司,9906,11148
中国建设银行股份有限公司,中国航发动力控制股份有限公司,9751,10090
中国建设银行股份有限公司,中信银行股份有限公司,9751,10814
泸州老窖股份有限公司,北方化学工业股份有限公司,9900,10508
泸州老窖股份有限公司,国泰君安证券股份有限公司,9900,10268
上海申能新能源投资有限公司,上海太阳能科技有限公司,10798,9838
国泰君安证券股份有限公司,国泰君安创新投资有限公司,10268,10379
国泰君安证券股份有限公司,上海证券交易所,10268,9852
国泰君安证券股份有限公司,云南一乘驾驶培训股份有限公司,10268,10622
国泰君安证券股份有限公司,内蒙古骑士乳业集团股份有限公司,10268,10674
国泰君安证券股份有限公司,江苏宁沪高速公路股份有限公司,10268,10630
国泰君安证券股份有限公司,中国建筑股份有限公司,10268,10947
国泰君安证券股份有限公司,北京聚能鼎力科技股份有限公司,10268,10158
国泰君安证券股份有限公司,中国石油化工股份有限公司,10268,10870
国泰君安证券股份有限公司,中华企业咨询有限责任公司,10268,9938
国泰君安证券股份有限公司,国泰君安证裕投资有限公司,10268,9786
国泰君安证券股份有限公司,上海证券有限责任公司,10268,11158
国泰君安证券股份有限公司,安琪酵母股份有限公司,10268,10310
国泰君安证券股份有限公司,广东嘉达早教科技股份有限公司,10268,10203
国泰君安证券股份有限公司,天地壹号饮料股份有限公司,10268,10550
国泰君安证券股份有限公司,浙江中泰环保股份有限公司,10268,10609
国泰君安证券股份有限公司,证通股份有限公司,10268,9945
国泰君安证券股份有限公司,上海杰易森股份有限公司,10268,9895
国泰君安证券股份有限公司,中证机构间报价系统股份有限公司,10268,9779
国泰君安证券股份有限公司,国泰君安期货有限公司,10268,10036
国泰君安证券股份有限公司,云南杨丽萍文化传播股份有限公司,10268,10198
国泰君安证券股份有限公司,华安基金管理有限公司,10268,11211
国泰君安证券股份有限公司,广东省高速公路发展股份有限公司,10268,10695
国泰君安证券股份有限公司,中国石化上海石油化工股份有限公司,10268,11143
国泰君安证券股份有限公司,云南海潮集团听牧肉牛产业股份有限公司,10268,10725
国泰君安证券股份有限公司,湖北济川药业股份有限公司,10268,11000
国泰君安证券股份有限公司,吉林省艾斯克机电股份有限公司,10268,10619
国泰君安证券股份有限公司,中密控股股份有限公司,10268,10941
国泰君安证券股份有限公司,黄山旅游发展股份有限公司,10268,10071
国泰君安证券股份有限公司,南方风机股份有限公司,10268,10316
国泰君安证券股份有限公司,中国邮政储蓄银行股份有限公司,10268,10764
国泰君安证券股份有限公司,安徽省天然气开发股份有限公司,10268,10650
国泰君安证券股份有限公司,中证信用增进股份有限公司,10268,10960
国泰君安证券股份有限公司,上海国泰君安证券资产管理有限公司,10268,10056
国泰君安证券股份有限公司,陕西航天长城股份有限公司,10268,10327
河北承德露露股份有限公司,郑州露露饮料有限公司,10770,10057
河北承德露露股份有限公司,廊坊露露饮料有限公司,10770,10748
河北承德露露股份有限公司,承德银行股份有限公司,10770,9768
河北承德露露股份有限公司,霖霖集团有限责任公司,10770,10866
美的控股有限公司,美的集团股份有限公司,11255,10008
申能股份有限公司,海通证券股份有限公司,11176,11024
申能股份有限公司,北京京能电力股份有限公司,11176,10146
申能股份有限公司,华电国际电力股份有限公司,11176,10629
申能股份有限公司,上海申能新能源投资有限公司,11176,10798
中信投资控股有限公司,中信重工机械股份有限公司,10760,10223
中信投资控股有限公司,中信出版集团股份有限公司,10760,10204
南阳市金坤光电仪器有限责任公司,中光学集团股份有限公司,11020,10419
江西铜业股份有限公司,山东恒邦冶炼股份有限公司,10461,10877
中国医药保健品有限公司,中国医疗器械技术服务有限公司,9862,10134
宝安金饰品服务公司,国泰君安证券股份有限公司,11167,10268
国泰君安投资管理股份有限公司,旷达科技集团股份有限公司,10576,10871
天津经济技术开发区工业投资公司,国泰君安证券股份有限公司,11091,10268
江苏华西村股份有限公司,华泰证券股份有限公司,10980,9990
湖南长高高压开关集团股份公司,长沙银行股份有限公司,10683,11127
湖南长高高压开关集团股份公司,湖北省华网电力工程有限公司,10683,11250
湖南长高高压开关集团股份公司,杭州富特科技股份有限公司,10683,9904
湖南长高高压开关集团股份公司,湖南长高新能源电力有限公司,10683,10386
上海世茂股份有限公司,海通证券股份有限公司,10593,11024
陕西省国际信托股份有限公司,西部证券股份有限公司,10126,11209
陕西省国际信托股份有限公司,广东风华高新科技股份有限公司,10126,10758
华夏证券股份有限公司,中华企业咨询有限责任公司,11230,9938
深圳市中金岭南有色金属股份有限公司,深圳市有色金属财务有限公司,10435,10364
深圳市中金岭南有色金属股份有限公司,深圳市中金高能电池材料有限公司,10435,11213
深圳市中金岭南有色金属股份有限公司,北京安泰科信息股份有限公司,10435,10930
深圳市中金岭南有色金属股份有限公司,广东省广晟集团,10435,10596
深圳市中金岭南有色金属股份有限公司,广东韶关市中金岭南金属材料有限公司,10435,10654
深圳市中金岭南有色金属股份有限公司,深圳市康发实业发展有限公司,10435,9897
深圳市中金岭南有色金属股份有限公司,中国有色金属进出口深圳公司,10435,9803
深圳市中金岭南有色金属股份有限公司,广州华立颜料化工有限公司,10435,11009
深圳市中金岭南有色金属股份有限公司,深圳华加日铝业有限公司,10435,10333
深圳市中金岭南有色金属股份有限公司,深圳市金鹰出租汽车有限公司,10435,10872
小米科技有限责任公司,美的集团股份有限公司,10914,10008
航天信息股份有限公司,航天云网科技发展有限责任公司,10582,11234
中国石化集团金陵石油化工有限责任公司,国泰君安证券股份有限公司,9955,10268
中光学集团股份有限公司,河南中光学集团有限公司,10419,10714
中国石化上海石油化工股份有限公司,海通证券股份有限公司,11143,11024
中国石化上海石油化工股份有限公司,国泰君安证券股份有限公司,11143,10268
中国空间技术研究院,航天时代置业发展有限公司,10933,10514
中国空间技术研究院,航天神舟智慧系统技术有限公司,10933,10030
中国空间技术研究院,北京航天时代天盛物业管理有限公司,10933,9818
中国空间技术研究院,中国东方红卫星股份有限公司,10933,10163
中国空间技术研究院,航天投资控股有限公司,10933,9964
中国空间技术研究院,北京康拓红外技术股份有限公司,10933,10269
中国空间技术研究院,中国卫通集团股份有限公司,10933,11216
太平人寿保险有限公司,重庆市涪陵榨菜集团股份有限公司,10059,10097
太平人寿保险有限公司,中信出版集团股份有限公司,10059,10204
太平人寿保险有限公司,上海元祖梦果子股份有限公司,10059,10042
太平人寿保险有限公司,徐工集团工程机械股份有限公司,10059,10950
新疆昌吉金汇实业发展公司,中粮屯河糖业股份有限公司,10662,11165
棕榈生态城镇发展股份有限公司,广州棕榈资产管理有限公司,10628,10314
棕榈生态城镇发展股份有限公司,上海云垚资产管理有限公司,10628,10266
棕榈生态城镇发展股份有限公司,浙江新中源建设有限公司,10628,9849
棕榈生态城镇发展股份有限公司,横琴棕榈并购基金管理有限公司,10628,9810
棕榈生态城镇发展股份有限公司,福建棕榈城镇发展有限公司,10628,10136
棕榈生态城镇发展股份有限公司,棕榈幸福家科技有限公司,10628,10860
棕榈生态城镇发展股份有限公司,北京乐客灵境科技有限公司,10628,10257
棕榈生态城镇发展股份有限公司,棕榈盛城投资有限公司,10628,11118
棕榈生态城镇发展股份有限公司,四川七彩林科股份有限公司,10628,10964
国家电力公司,国泰君安证券股份有限公司,9884,10268
中国兵器装备集团有限公司,国家军民融合产业投资基金有限责任公司,11162,10616
中国兵器装备集团有限公司,中光学集团股份有限公司,11162,10419
中国兵器装备集团有限公司,重庆长安汽车股份有限公司,11162,11214
中国兵器装备集团有限公司,南方工业资产管理有限责任公司,11162,10243
冠城大通股份有限公司,兴业证券股份有限公司,10162,10851
广州御银科技股份有限公司,中信建投证券股份有限公司,9971,10606
苏宁易购集团股份有限公司,华泰证券股份有限公司,9850,9990
中信重工机械股份有限公司,中信重工机械有限责任公司,10223,11076
安徽皖投工业投资有限公司,融捷健康科技股份有限公司,10931,11193
中开金资产管理有限公司,上海航天汽车机电股份有限公司,10739,9776
富邦资产管理有限公司,华泰证券股份有限公司,10306,9990
冀中能源股份有限公司,华北制药股份有限公司,10464,10564
中国中材股份有限公司,北京金隅集团股份有限公司,10589,10273
中国中材股份有限公司,新疆天山水泥股份有限公司,10589,10702
中国中材股份有限公司,中国中材国际工程股份有限公司,10589,10369
中国中材股份有限公司,宁夏建材集团股份有限公司,10589,11122
中国中材股份有限公司,甘肃祁连山水泥集团股份有限公司,10589,10401
卓傲国际有限公司,上海元祖梦果子股份有限公司,10374,10042
盈富泰克创业投资有限公司,北京东方通科技股份有限公司,9957,10124
盈富泰克创业投资有限公司,广州广电运通金融电子股份有限公司,9957,10608
盈富泰克创业投资有限公司,北京君正集成电路股份有限公司,9957,10368
北京金隅集团股份有限公司,唐山冀东水泥股份有限公司,10273,10804
中国国有企业结构调整基金股份有限公司,北方化学工业股份有限公司,10861,10508
中国国有企业结构调整基金股份有限公司,上海电力股份有限公司,10861,9857
中国国有企业结构调整基金股份有限公司,中信建投证券股份有限公司,10861,10606
中国国有企业结构调整基金股份有限公司,中国船舶重工股份有限公司,10861,10039
中国国有企业结构调整基金股份有限公司,华泰证券股份有限公司,10861,9990
中国国有企业结构调整基金股份有限公司,国电南瑞科技股份有限公司,10861,10882
中国国有企业结构调整基金股份有限公司,中远海运控股股份有限公司,10861,9954
