company_name,investor,index_of_investor,com_index
美的集团股份有限公司,袁利群,0,10008
美的集团股份有限公司,蔡其武,1,10008
美的集团股份有限公司,郑伟康,2,10008
美的集团股份有限公司,黄健,3,10008
美的集团股份有限公司,栗建伟,4,10008
美的集团股份有限公司,方洪波,5,10008
美的集团股份有限公司,黄晓明,6,10008
湖南博云新材料股份有限公司,黄伯云,7,10164
上海庆科信息技术有限公司,王永虹,8,10938
上海庆科信息技术有限公司,沈建华,9,10938
上海庆科信息技术有限公司,胡蓉,10,10938
上海庆科信息技术有限公司,杨海波,11,10938
上海庆科信息技术有限公司,徐炜,12,10938
通裕重工股份有限公司,邓小兵,13,10279
通裕重工股份有限公司,杨侦先,14,10279
通裕重工股份有限公司,朱金枝,15,10279
通裕重工股份有限公司,崔迎军,16,10279
通裕重工股份有限公司,刘陆鹏,17,10279
通裕重工股份有限公司,陈秉志,18,10279
通裕重工股份有限公司,李德兴,19,10279
通裕重工股份有限公司,赵美娟,20,10279
通裕重工股份有限公司,孙晓东,21,10279
通裕重工股份有限公司,由明伟,22,10279
通裕重工股份有限公司,黄克垠,23,10279
通裕重工股份有限公司,杨淑云,24,10279
通裕重工股份有限公司,张仁军,25,10279
通裕重工股份有限公司,高庆东,26,10279
通裕重工股份有限公司,刘玉海,27,10279
通裕重工股份有限公司,秦吉水,28,10279
通裕重工股份有限公司,史永宁,29,10279
通裕重工股份有限公司,李凤梅,30,10279
通裕重工股份有限公司,李志云,31,10279
通裕重工股份有限公司,司兴奎,32,10279
通裕重工股份有限公司,李延义,33,10279
通裕重工股份有限公司,刘文奇,34,10279
通裕重工股份有限公司,刘翠花,35,10279
通裕重工股份有限公司,曹智勇,36,10279
通裕重工股份有限公司,陈立民,37,10279
通裕重工股份有限公司,张继森,38,10279
通裕重工股份有限公司,文平安,39,10279
通裕重工股份有限公司,李静,40,10279
通裕重工股份有限公司,陈练练,41,10279
通裕重工股份有限公司,杨洪,42,10279
通裕重工股份有限公司,刘传合,43,10279
通裕重工股份有限公司,付志铭,44,10279
通裕重工股份有限公司,杨兴厚,45,10279
通裕重工股份有限公司,王剑,46,10279
通裕重工股份有限公司,张晓亚,47,10279
通裕重工股份有限公司,赵立君,48,10279
通裕重工股份有限公司,司超新,49,10279
通裕重工股份有限公司,石爱军,50,10279
通裕重工股份有限公司,孙书海,51,10279
通裕重工股份有限公司,祖新生,52,10279
通裕重工股份有限公司,王翔,53,10279
通裕重工股份有限公司,朱健明,54,10279
通裕重工股份有限公司,倪洪运,55,10279
通裕重工股份有限公司,王继荣,56,10279
通裕重工股份有限公司,王世镇,57,10279
日播时尚集团股份有限公司,郑征,58,10301
日播时尚集团股份有限公司,王卫东,59,10301
日播时尚集团股份有限公司,曲江亭,60,10301
日播时尚集团股份有限公司,王陶,61,10301
日播时尚集团股份有限公司,林亮,62,10301
北京北摩高科摩擦材料股份有限公司,刘俊杰,63,10699
北京北摩高科摩擦材料股份有限公司,唐红英,64,10699
北京北摩高科摩擦材料股份有限公司,高昆,65,10699
北京北摩高科摩擦材料股份有限公司,吴润,66,10699
